S.No,Word,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,English Dictionary Match,Number Match,Abbreviation Match,Symbol Match,Repetitive Word
1,Salva,0 0 0 0,query body statement word,{},0.025,1.2388820889151366,0.030972052222878417,No,No,No,No,No
2,was,0 0 0 1,query body statement word,{},0.008333333333333333,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
3,the,0 0 0 2,query body statement word,{},0.1,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
4,friend,0 0 0 3,query body statement word,{},0.016666666666666666,0.8129133566428556,0.013548555944047592,"Yes (en_US, en_GB, en_AU)",No,No,No,No
5,of,0 0 0 4,query body statement word,{},0.058333333333333334,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
6,Shishupala,0 0 0 5,query body statement word,{},0.008333333333333333,1.0170333392987803,0.008475277827489835,No,No,No,No,No
7,and,0 0 0 6,query body statement word,{},0.03333333333333333,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
8,he,0 0 0 7,query body statement word,{},0.008333333333333333,0.008433167536862764,7.027639614052303e-05,Yes (NTLK Stopword),No,No,No,No
9,had,0 0 0 8,query body statement word,{},0.025,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
10,hatred,0 0 0 10,query body statement word,{},0.008333333333333333,0.6368220975871743,0.005306850813226452,"Yes (en_US, en_GB, en_AU)",No,No,No,No
11,for,0 0 0 11,query body statement word,{},0.016666666666666666,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
12,the,0 0 0 12,query body statement word,{},0.1,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
13,Yadus,0 0 0 13,query body statement word,{},0.008333333333333333,0.8709053036205423,0.007257544196837853,No,No,No,No,No
14,especially,0 0 0 14,query body statement word,{},0.008333333333333333,1.2388820889151366,0.010324017407626139,"Yes (en_US, en_GB, en_AU)",No,No,No,No
15,Krishna,0 0 0 15,query body statement word,{},0.008333333333333333,0.17193529928452353,0.0014327941607043628,No,No,No,No,No
16,who,0 0 0 16,query body statement word,{},0.008333333333333333,0.07255066714861175,0.0006045888929050979,Yes (NTLK Stopword),No,No,No,No
17,had,0 0 0 17,query body statement word,{},0.025,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
18,denied,0 0 0 18,query body statement word,{},0.008333333333333333,0.8709053036205423,0.007257544196837853,"Yes (en_US, en_GB, en_AU)",No,No,No,No
19,his,0 0 0 19,query body statement word,{},0.016666666666666666,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
20,friend,0 0 0 20,query body statement word,{},0.016666666666666666,0.8129133566428556,0.013548555944047592,"Yes (en_US, en_GB, en_AU)",No,No,No,No
21,of,0 0 0 21,query body statement word,{},0.058333333333333334,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
22,his,0 0 0 22,query body statement word,{},0.016666666666666666,0.0,0.0,Yes (NTLK Stopword),No,No,No,Yes
