S.No,Bigram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
1,Salva was,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'VBD']"
2,was the,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.31806333496276157,0.002672801134140853,No,"['VBD', 'DT']"
3,the friend,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['DT', 'NN']"
4,friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.01680672268907563,1.2388820889151366,0.020821547712859437,No,"['NN', 'IN']"
5,of Shishupala,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['IN', 'NNP']"
6,Shishupala and,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['NNP', 'CC']"
7,and he,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.414973347970818,0.0034871709913514115,No,"['CC', 'PRP']"
8,he had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.184524426592544,0.0015506254335507898,No,"['PRP', 'VBD']"
9,had a,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.4607308385314931,0.0038716877187520427,No,"['VBD', 'DT']"
10,a hatred,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['DT', 'VBN']"
11,hatred for,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['VBD', 'IN']"
12,for the,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.09275405323689871,0.0007794458255201573,No,"['IN', 'DT']"
13,the Yadus,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['DT', 'NNP']"
14,Yadus especially,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'RB']"
15,especially Krishna,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['RB', 'NNP']"
16,Krishna who,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['NNP', 'WP']"
17,who had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.5399120845791179,0.004537076341000991,No,"['WP', 'VBD']"
18,had denied,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', 'VBN']"
19,denied his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', 'PRP$']"
20,his friend,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['PRP$', 'NN']"
21,friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.01680672268907563,1.2388820889151366,0.020821547712859437,No,"['NN', 'IN']"
22,of his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.07255066714861175,0.0006096694718370735,No,"['IN', 'PRP$']"
23,his prospective,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['PRP$', 'JJ']"
24,prospective bride,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['JJ', 'NN']"
25,bride Rukmini,0 0 0,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NNP']"
26,He had,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.5399120845791179,0.004537076341000991,No,"['PRP', 'VBD']"
27,had vowed,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', 'VBN']"
28,vowed to,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['VBD', 'TO']"
29,to destroy,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['TO', 'VB']"
30,destroy the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['NN', 'DT']"
31,the Yadavas,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['DT', 'NNP']"
32,Yadavas and,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['NNP', 'CC']"
33,and relieve,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['CC', 'VBP']"
34,relieve the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.0170333392987803,0.008546498649569582,No,"['NN', 'DT']"
35,the earth,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.5698753079565612,0.004788868134088749,No,"['DT', 'NN']"
36,earth of,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'IN']"
37,of these,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.0170333392987803,0.008546498649569582,No,"['IN', 'DT']"
38,these undesirable,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['DT', 'JJ']"
39,undesirable people,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['JJ', 'NNS']"
40,To carry,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['TO', 'VB']"
41,carry out,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['NN', 'IN']"
42,out the,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.6020599913279624,0.0050593276582181716,No,"['IN', 'DT']"
43,"the resolve,",0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['DT', 'NN']"
44,"resolve, Salva",0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', ',', 'NNP']"
45,Salva began,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'VBD']"
46,began to,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.4607308385314931,0.0038716877187520427,No,"['VBD', 'TO']"
47,to worship,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['TO', 'NN']"
48,worship Shiva,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NNP']"
49,Shiva living,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'NN']"
50,living on,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBG', 'IN']"
51,on a,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.5399120845791179,0.004537076341000991,No,"['IN', 'DT']"
52,a handful,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['DT', 'NN']"
53,handful of,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['NN', 'IN']"
54,of dust,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['IN', 'JJ']"
55,After nearly,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['IN', 'RB']"
56,nearly a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['RB', 'DT']"
57,"a year,",0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['DT', 'NN']"
58,"year, Shiva",0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', ',', 'NNP']"
59,Shiva appeared,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'VBD']"
60,appeared with,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', 'IN']"
61,with the,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.11394335230683679,0.0009575071622423259,No,"['IN', 'DT']"
62,the offer,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['DT', 'NN']"
63,offer of,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'IN']"
64,of a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.10321948691506368,0.0008673906463450728,No,"['IN', 'DT']"
65,a boon,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.6746106584765741,0.005668997130055244,No,"['DT', 'NN']"
66,Salva asked,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'VBD']"
67,asked for,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.8709053036205423,0.0073185319631978345,No,"['VBD', 'IN']"
